
[ERR] Failed to insert documents to DB (1543334, 1543419): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1543764, 1543849): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1544452, 1544537): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1543506, 1543591): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1543248, 1543333): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1543420, 1543505): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1544366, 1544451): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1543850, 1543935): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1545484, 1545569): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1546946, 1547031): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1547032, 1547117): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1547290, 1547375): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1548064, 1548149): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1548150, 1548235): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1543936, 1544021): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1544022, 1544107): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1544108, 1544193): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1544194, 1544279): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1544280, 1544365): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1543592, 1543677): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1543678, 1543763): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1544968, 1545053): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1545226, 1545311): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1545054, 1545139): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1544538, 1544623): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1545312, 1545397): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1544624, 1544709): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1545140, 1545225): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1545398, 1545483): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1544796, 1544881): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1544710, 1544795): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1544882, 1544967): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1847860, 1847945): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1847946, 1848031): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1848032, 1848117): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1848204, 1848289): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1848118, 1848203): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1848290, 1848375): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1848376, 1848461): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1848634, 1848719): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1848720, 1848805): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1848462, 1848547): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1848806, 1848891): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1848892, 1848977): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1848978, 1849063): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1849064, 1849149): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1849150, 1849235): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1849236, 1849321): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1849408, 1849493): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1849322, 1849407): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1849494, 1849579): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1849580, 1849665): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1849666, 1849751): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1849752, 1849837): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1849838, 1849923): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1850010, 1850095): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1850096, 1850181): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1850182, 1850267): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1850354, 1850439): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1850440, 1850525): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
